Linac Beam 
1.6800000000e+00 3.6000000000e+00 3.6000000000e+00 
1.6850000000e+00 3.6000000000e+00 3.6000000000e+00 
1.6900000000e+00 3.6000000000e+00 3.6000000000e+00 
1.6950000000e+00 3.6000000000e+00 3.6000000000e+00 
1.7000000000e+00 3.6000000000e+00 3.6000000000e+00 
1.7050000000e+00 3.6000000000e+00 3.6000000000e+00 
1.7100000000e+00 3.6000000000e+00 3.6000000000e+00 
1.7150000000e+00 3.6000000000e+00 3.6000000000e+00 
1.7200000000e+00 3.6000000000e+00 3.6000000000e+00 
1.7250000000e+00 3.6000000000e+00 3.6000000000e+00 
1.7300000000e+00 3.6000000000e+00 3.6000000000e+00 
1.7350000000e+00 3.6000000000e+00 3.6000000000e+00 
1.7400000000e+00 3.6000000000e+00 3.6000000000e+00 
1.7400000000e+00 3.6000000000e+00 3.6000000000e+00 
1.7800000000e+00 3.6000000000e+00 3.6000000000e+00 
1.8100000000e+00 3.6000000000e+00 3.6000000000e+00 
1.9000000000e+00 3.6000000000e+00 3.6000000000e+00 
1.9000000000e+00 3.6000000000e+00 3.6000000000e+00 
1.9900000000e+00 3.6000000000e+00 3.6000000000e+00 
2.0200000000e+00 3.6000000000e+00 3.6000000000e+00 
2.0300000000e+00 3.6000000000e+00 3.6000000000e+00 
2.1100000000e+00 3.6000000000e+00 3.6000000000e+00 
2.1200000000e+00 3.6000000000e+00 3.6000000000e+00 
2.1700000000e+00 3.6000000000e+00 3.6000000000e+00 
2.1700000000e+00 3.6000000000e+00 3.6000000000e+00 
2.2200000000e+00 3.6000000000e+00 3.6000000000e+00 
2.2300000000e+00 3.6000000000e+00 3.6000000000e+00 
2.3100000000e+00 3.6000000000e+00 3.6000000000e+00 
2.3200000000e+00 3.6000000000e+00 3.6000000000e+00 
2.4200000000e+00 3.6000000000e+00 3.6000000000e+00 
2.4300000000e+00 3.6000000000e+00 3.6000000000e+00 
2.5100000000e+00 3.6000000000e+00 3.6000000000e+00 
2.5200000000e+00 3.6000000000e+00 3.6000000000e+00 
2.8700000000e+00 3.6000000000e+00 3.6000000000e+00 
2.8800000000e+00 3.6000000000e+00 3.6000000000e+00 
2.9600000000e+00 3.6000000000e+00 3.6000000000e+00 
2.9700000000e+00 3.6000000000e+00 3.6000000000e+00 
3.0000000000e+00 3.6000000000e+00 3.6000000000e+00 
3.0900000000e+00 3.6000000000e+00 3.6000000000e+00 
3.0900000000e+00 3.6000000000e+00 3.6000000000e+00 
3.1800000000e+00 3.6000000000e+00 3.6000000000e+00 
3.2100000000e+00 3.6000000000e+00 3.6000000000e+00 
3.2200000000e+00 3.6000000000e+00 3.6000000000e+00 
3.3000000000e+00 3.6000000000e+00 3.6000000000e+00 
3.3100000000e+00 3.6000000000e+00 3.6000000000e+00 
3.3600000000e+00 3.6000000000e+00 3.6000000000e+00 
3.3600000000e+00 3.6000000000e+00 3.6000000000e+00 
3.4100000000e+00 3.6000000000e+00 3.6000000000e+00 
3.4200000000e+00 3.6000000000e+00 3.6000000000e+00 
3.5000000000e+00 3.6000000000e+00 3.6000000000e+00 
3.5100000000e+00 3.6000000000e+00 3.6000000000e+00 
3.6100000000e+00 3.6000000000e+00 3.6000000000e+00 
3.6200000000e+00 3.6000000000e+00 3.6000000000e+00 
3.7000000000e+00 3.6000000000e+00 3.6000000000e+00 
3.7100000000e+00 3.6000000000e+00 3.6000000000e+00 
3.8100000000e+00 3.6000000000e+00 3.6000000000e+00 
3.8350000000e+00 3.6000000000e+00 3.6000000000e+00 
3.9102368000e+00 3.7441364838e+00 3.7441364838e+00 
3.9869541000e+00 3.8926942162e+00 3.8926942162e+00 
4.0651606000e+00 4.0454614277e+00 4.0454614277e+00 
4.1448750000e+00 4.2028492740e+00 4.2028492740e+00 
4.2261053000e+00 4.3645244023e+00 4.3645244023e+00 
4.3088671000e+00 4.5309179659e+00 4.5309179659e+00 
4.3931747000e+00 4.7016932622e+00 4.7016932622e+00 
4.4790358000e+00 4.8772343359e+00 4.8772343359e+00 
4.5664641000e+00 5.0572834619e+00 5.0572834619e+00 
